acct_id,name
A001,Grace Hopper
A002,Tim Berners-Lee
A003,Ada Lovelace
A004,Edsger Dijkstra
A005,Grace Hopper
A006,Radia Perlman
A007,Grace Hopper
A008,Rosalind Franklin
A009,Alan Turing
A010,Tim Berners-Lee
A011,Grace Hopper
A012,Ada Lovelace
A013,Barbara Liskov
A014,Grace Hopper
A015,Edsger Dijkstra
A016,Ada Lovelace
A017,Alan Turing
A018,Radia Perlman
A019,Alan Turing
A020,Katherine Johnson
A021,Alan Turing
A022,Edsger Dijkstra
A023,Alan Turing
A024,Linus Pauling
A025,Tim Berners-Lee
A026,Linus Pauling
A027,Edsger Dijkstra
A028,Ada Lovelace
A029,Linus Pauling
A030,Rosalind Franklin
A031,Edsger Dijkstra
A032,Radia Perlman
A033,Katherine Johnson
A034,Grace Hopper
A035,Ada Lovelace
A036,Linus Pauling
A037,Grace Hopper
A038,Tim Berners-Lee
A039,Barbara Liskov
A040,Tim Berners-Lee
